3	0.092489	0.022851
4	0.020130	0.018654
5	0.021366	0.011053
6	0.016496	0.013783
7	0.012370	0.037079
8	0.010170	0.077651
9	0.008567	0.048237
10	0.007334	0.085412
11	0.006370	0.126513
12	0.005599	0.207475
13	0.004972	0.335147
14	0.004453	0.738021
15	0.004018	1.351135
16	0.003650	1.997402
17	0.003335	3.074243
18	0.003062	4.855710
19	0.002824	7.379727
20	0.002616	12.035943
21	0.002449	19.077564
22	0.002255	41.554152
23	0.002177	247.609067
24	0.002404	691.487528
25	0.001837	989.482147
26	0.001522	1367.848847
27	0.001819	1902.616066
28	0.002762	2589.967515
29	0.001902	3520.271135
