3	0.092489	0.009710
4	0.020130	0.010618
5	0.021366	0.013197
6	0.016496	0.013949
7	0.012370	0.020791
8	0.010170	0.030440
9	0.008567	0.048686
10	0.007334	0.080600
11	0.006370	0.149431
12	0.005599	0.238560
13	0.004972	0.385759
14	0.004453	0.517350
15	0.004018	0.940501
16	0.003650	1.098084
17	0.003335	1.571888
18	0.003062	2.160409
19	0.002824	3.034684
20	0.002616	3.980840
21	0.002449	5.333361
22	0.002255	7.219036
23	0.002177	11.454780
24	0.002402	12.286733
25	0.001835	15.975460
26	0.001522	20.373896
27	0.002113	26.466080
28	0.003671	33.753050
29	0.002593	41.533465
30	0.013032	52.024487
31	0.002285	117.199423
32	0.002003	81.420751
33	0.020427	106.373189
34	0.002066	127.578887
35	0.039257	164.900344
36	0.037196	206.519038
37	0.001987	249.173747
38	0.001936	309.941582
39	0.002578	497.534116
